Station,T1 (K),T2 (K),R1,R2,R3,Iterations
189,458.8065025835193,458.6252736448335,14.598487433036423,117.29894095404433,116919.67841333321,2.0
188,459.10570749881737,458.92424160127683,14.591290038467484,116.96660616899442,116628.84881605714,2.0
187,459.40081012347355,459.21911051124437,14.583201063819162,116.6441232956096,116347.06353581988,2.0
186,459.6933276523308,459.5113963568349,14.584762187120528,116.41464056595674,116157.50570999076,2.0
185,459.9794271683991,459.79726918365947,14.574699209752039,116.11600756083763,115897.91093864264,2.0
184,460.26163808096817,460.0792564771341,14.563799002928036,115.82608293298685,115646.2933265522,2.0
183,460.53910826307435,460.3565067952202,14.555834580600804,115.57416857550783,115431.81735516978,2.0
182,460.81051861876296,460.62770204521536,14.549158108680631,115.35027910816807,115244.37170636452,2.0
181,461.0790511973272,460.896021700479,14.535632958260896,115.09120195371587,115021.2366131596,2.0
180,461.34356953877267,461.1603302780514,14.521417446609846,114.8405810731722,114805.86195978157,2.0
179,461.6026616654789,461.41921692507395,14.513305970483145,114.65188244732454,114651.53787224473,2.0
178,461.8586665699222,461.675018670273,14.499006035692915,114.43399991859744,114467.5001377684,2.0
177,462.1096188521392,461.9257717471973,14.48233394077187,114.21219364434714,114278.74080235139,2.0
176,462.3580394180825,462.17399507343214,14.466987658072329,114.01336019475039,114112.51226157788,2.0
175,462.60404242080006,462.4198026645546,14.454181063782162,113.84996808830557,113981.33395684732,2.0
174,462.84477704648765,462.660345944261,14.435168864848368,113.65527843184482,113818.0284775345,2.0
173,463.08153517126004,462.896915823387,14.415522939715514,113.46808243141182,113661.5999175378,2.0
172,463.3175588417221,463.1327517678496,14.399907991491318,113.32453947540448,113548.71223413697,2.0
171,463.5479112056154,463.3629207677534,14.380214677767283,113.16674954002403,113420.72577424748,2.0
170,463.77482141692127,463.58965025604647,14.358325942753227,113.00524975751395,113288.48679795238,2.0
169,464.0016349249558,463.8162830466621,14.337179512857054,112.86103287254855,113173.48128788102,2.0
168,464.2234748728131,464.0379461289489,14.317697194071627,112.74330499610079,113084.32168636734,2.0
167,464.4417688103607,464.25606585763313,14.293624421720938,112.60650750408588,112975.50825839568,2.0
166,464.65820255797786,464.4723267941016,14.268971271286611,112.47629396351527,112872.99130817309,2.0
165,464.87326326507946,464.68721570643856,14.24693037143118,112.37722909222282,112801.49730355361,2.0
164,465.0835239785196,464.89730825966103,14.22162401670712,112.26960679260154,112720.73964873626,2.0
163,465.2917519829229,465.10536960616406,14.19489232905489,112.16316811705444,112640.85498362315,2.0
162,465.4972183261297,465.3106713974624,14.16866309788898,112.07108956392578,112574.98628775899,2.0
